section,title,media,reference,notes
Hardware prototype: MechaMediaDuino,Off-the-3d-printer: mounts,images-MechaMediaDuino/MechaMediaDuino3dModelsBlender.png,,"Polylactic acid (PLA) made from starch, more recyclable than plastic"
Hardware prototype: MechaMediaDuino,Thanks Inria Defrost & InriaTech teams!,images-MechaMediaDuino/Defrost_Team_KickOff.jpg,"Mario Sanz Lopez (Inria Lille, <a href='https://team.inria.fr/defrost/team-members/'>Defrost</a> deformable robotics and InriaTech transfer teams",
Hardware prototype: MechaMediaDuino,(Inria Defrost: deformable robotics),images-MechaMediaDuino/DefrostVoixDuNord.jpg,"Jean-Marc Petit, <a href='http://www.lavoixdunord.fr/region/economie/a-villeneuve-d-ascq-defrost-est-le-pionnier-des-ia0b0n3688500'>À Villeneuve-d'Ascq, Defrost est le pionnier des « robots déformables »</a>, La Voix du Nord, 19/08/2016",
Hardware prototype: MechaMediaDuino,MechaMediaDuino: Firmware Glitch,images-MechaMediaDuino/CrackedMedia9780262013147.jpg,,Firmware glitch welcome for showcasing <br/> a ‘flick to initiate constant rotation then brake' gesture to control playback speed
Software prototyping: visual dataflows,Solution: FlowDesigner (2005)?,images-MechaMediaDuino/FlowDesigner.png,"<a href='https://introlab.3it.usherbrooke.ca/mediawiki-introlab/index.php/FlowDesigner'>IntRoLab</a>, University of Sherbrooke","Local for you (Montreal), for robotics and spatial audio input, development stalled?"
Software prototyping: visual dataflows,Solution: RobotFlow (2004)?,images-MechaMediaDuino/RobotFlow.jpg,"<a href='https://introlab.3it.usherbrooke.ca/mediawiki-introlab/index.php/FlowDesigner'>IntRoLab</a>, University of Sherbrooke","Local for you (Montreal), for robotics and spatial audio input, development stalled?"
Software prototyping: visual dataflows,Solution: OpenInterface (2007)?,images-MechaMediaDuino/Skemmi_overview_resize.png,"<a href='http://openinterface.org'>OpenInterface.org</a>, Université catholique de Louvain (UCL) + EU FP6 SIMILAR partners","Local for me (Belgium), development now internal to a company (Skemmi)"
Software prototyping: visual dataflows,Solution: iCon + libmapper (2016)?,images-MechaMediaDuino/IConLibmapper.png,"Wanderley et al. Human Computer Interaction meets Computer Music:
The MIDWAY Project @ CHI'EA'16","From Inria, still maintained: through MIDWAY, with libmapper. Java… I prefer C++ for hardware and JavaScript for UIs"
Software prototyping: visual dataflows,Solution: PureData (1996)!,images-DeviceCycle/DeviceCycle.png,"Frisson et al., DeviceCycle, NIME'10","For audio and input, with graph-on-parent abilities"
Software prototyping: visual dataflows,Solution: PurrData (2016)!,images-MechaMediaDuino/PurrDataGitlab.png,<a href='https://git.purrdata.net/jwilkes/purr-data'>https://git.purrdata.net/jwilkes/purr-data</a>,L2Ork fork using nwjs and running on Raspberry Pi
Software prototyping: visual dataflows,Solution: PurrData (2016)!,images-VibroTactileWidgets/HappinessDemoReviewEU_20161124_172126.jpg,Mid-term review demo for <a href='http://www.happiness-project.eu'>Happiness H2020 EU project</a>,L2Ork fork using nwjs and running on Raspberry Pi
Software prototyping: FF audio browsing,PureData: Mechaduino: pduino,images-MechaMediaDuino/pduino.png,<a href='http://playground.arduino.cc/Interfacing/PD'>http://playground.arduino.cc/Interfacing/PD</a>,
Software prototyping: FF audio browsing,"PureData: Audio analysis: aubio, timbreId…",videos-LavaAMP/LavaAMP-NoLogos.mp4,"Frisson & Schayes, LavaAMP, UIST'13 SIC",
Software prototyping: FF audio browsing,PurrData:  Audio widgets: nexusUI! ,images-WebAudioHaptics/WebAudioHapticsOverview.png,"Frisson et al., WebAudioHaptics, WAC'16",
Software prototyping: FF audio browsing,FF FX? Mappings? Metaphors?,images-MechaMediaDuino/ThePlank@NIME2012-Tab1.png,"Verplank et al., The Plank, NIME'02",
Epilogue,Embrace failure,images-MechaMediaDuino/Lombardi-WhyWrotaryeFail@RosenfeldMedia2013-Rotary.png,"Lombardi, Why We Fail, Rosenfeld, 2013",
Epilogue,More than a (1-DOF) feeling?,images-MechaMediaDuino/WoodenHaptics.png,"<a href='http://www.woodenHaptics.org'>WoodenHaptics.org</a>",
Epilogue,Slides and material on github,,<a href='http://github.com/ChristianFrisson/MechaMediaDuino'>github.com/ChristianFrisson/MechaMediaDuino</a>,
